config_label,seed,threshold,results_csv,n,baseline_accuracy,corrected_accuracy,delta_accuracy_pp,intervened_rate,flip_to_correct_rate,flip_to_wrong_rate,net_gain_rate,mean_intervention_score,fallback_rate
e12b_gqa_confidence_gated_e1_tuned_n2000_seed123,123,0.1,/data/cs22btech11030/test/Inference_time_VLM/results/priorityB_task6_threshold_robustness/runs/e12b_gqa_confidence_gated_e1_tuned_n2000_seed123/thr_0p100/results_E12b_gqa_confidence_gated_e1_tuned_n2000_seed123.csv,500,0.606,0.626,2.0000000000000018,0.78,0.09,0.07,0.02,0.20451419047619046,0.002
e12b_gqa_confidence_gated_e1_tuned_n2000_seed123,123,0.14,/data/cs22btech11030/test/Inference_time_VLM/results/priorityB_task6_threshold_robustness/runs/e12b_gqa_confidence_gated_e1_tuned_n2000_seed123/thr_0p140/results_E12b_gqa_confidence_gated_e1_tuned_n2000_seed123.csv,500,0.606,0.624,1.8000000000000016,0.758,0.088,0.07,0.018,0.20451419047619046,0.002
e12b_gqa_confidence_gated_e1_tuned_n2000_seed123,123,0.18,/data/cs22btech11030/test/Inference_time_VLM/results/priorityB_task6_threshold_robustness/runs/e12b_gqa_confidence_gated_e1_tuned_n2000_seed123/thr_0p180/results_E12b_gqa_confidence_gated_e1_tuned_n2000_seed123.csv,500,0.606,0.62,1.4000000000000012,0.592,0.068,0.054,0.014,0.20451419047619046,0.002
e12b_gqa_confidence_gated_e1_tuned_n2000_seed123,123,0.22,/data/cs22btech11030/test/Inference_time_VLM/results/priorityB_task6_threshold_robustness/runs/e12b_gqa_confidence_gated_e1_tuned_n2000_seed123/thr_0p220/results_E12b_gqa_confidence_gated_e1_tuned_n2000_seed123.csv,500,0.606,0.612,0.6000000000000005,0.364,0.042,0.036,0.006,0.20451419047619046,0.002
e12b_gqa_confidence_gated_e1_tuned_n2000_seed123,123,0.26,/data/cs22btech11030/test/Inference_time_VLM/results/priorityB_task6_threshold_robustness/runs/e12b_gqa_confidence_gated_e1_tuned_n2000_seed123/thr_0p260/results_E12b_gqa_confidence_gated_e1_tuned_n2000_seed123.csv,500,0.606,0.61,0.40000000000000036,0.344,0.04,0.036,0.004,0.20451419047619046,0.002
