stratum,n_e1,n_e12b,e1_corrected_accuracy,e12b_corrected_accuracy,e1_delta_pp,e12b_delta_pp,delta_pp_gap_e1_minus_e12b,corrected_acc_gap_e1_minus_e12b
counting,5,5,1.0,0.8,19.999999999999996,0.0,19.999999999999996,0.19999999999999996
spatial,35,35,0.7428571428571429,0.6285714285714286,20.000000000000007,2.857142857142858,17.14285714285715,0.11428571428571432
attribute,30,30,0.9666666666666667,0.7666666666666667,13.33333333333333,-3.3333333333333326,16.666666666666664,0.19999999999999996
object_existence,301,301,0.7840531561461794,0.5913621262458472,17.94019933554818,1.661129568106312,16.279069767441868,0.19269102990033227
none,653,653,0.8101071975497703,0.7090352220520674,15.46707503828484,6.738131699846861,8.728943338437979,0.10107197549770297
