question_type,n_e1,n_e12b,e1_corrected_acc,e12b_corrected_acc,e1_delta_pp,e12b_delta_pp,delta_pp_gap_e1_minus_e12b,corrected_acc_gap_e1_minus_e12b
query,546,546,0.7527472527472527,0.5604395604395604,24.35897435897436,7.3260073260073275,17.032967032967033,0.1923076923076923
choose,110,110,0.8636363636363636,0.7636363636363637,9.090909090909093,0.0,9.090909090909093,0.09999999999999998
verify,222,222,0.9234234234234234,0.8333333333333334,11.261261261261257,4.054054054054057,7.2072072072072,0.09009009009009006
compare,30,30,0.8,0.7333333333333333,10.000000000000009,6.666666666666665,3.3333333333333437,0.06666666666666676
logical,116,116,0.7758620689655172,0.8017241379310345,-3.4482758620689613,-1.7241379310344862,-1.724137931034475,-0.025862068965517238
