stratum,n_e1,n_e12b,e1_corrected_accuracy,e12b_corrected_accuracy,e1_delta_pp,e12b_delta_pp,delta_pp_gap_e1_minus_e12b,corrected_acc_gap_e1_minus_e12b
counting,7,7,0.8571428571428571,0.5714285714285714,28.57142857142857,0.0,28.57142857142857,0.2857142857142857
attribute,38,38,0.9736842105263158,0.7894736842105263,21.052631578947366,2.631578947368418,18.42105263157895,0.1842105263157895
spatial,38,38,0.7631578947368421,0.631578947368421,21.052631578947366,2.631578947368418,18.42105263157895,0.13157894736842113
object_existence,301,301,0.7840531561461794,0.5913621262458472,17.94019933554818,1.661129568106312,16.279069767441868,0.19269102990033227
action,0,0,0.0,0.0,0.0,0.0,0.0,0.0
text_ocr,0,0,0.0,0.0,0.0,0.0,0.0,0.0
