question_type,n_e1,n_e12b,e1_corrected_acc,e12b_corrected_acc,e1_delta_pp,e12b_delta_pp,delta_pp_gap_e1_minus_e12b,corrected_acc_gap_e1_minus_e12b
cat,62,62,0.7096774193548387,0.5,25.80645161290323,4.838709677419356,20.967741935483875,0.20967741935483875
rel,503,503,0.7992047713717694,0.6182902584493042,23.260437375745525,5.964214711729621,17.296222664015904,0.1809145129224652
attr,301,301,0.8438538205980066,0.7475083056478405,10.299003322259138,4.983388704318936,5.315614617940201,0.09634551495016608
obj,121,121,0.8347107438016529,0.8264462809917356,0.0,-1.6528925619834656,1.6528925619834656,0.008264462809917328
global,37,37,0.6486486486486487,0.6216216216216216,8.108108108108114,8.108108108108103,1.0658141036401503e-14,0.027027027027027084
