method_a,method_b,winner,n_paired,a_correct,b_correct,a_accuracy,b_accuracy,delta_accuracy_pp_a_minus_b,a_only_correct,b_only_correct,mcnemar_exact_p,mcnemar_exact_p_holm,mcnemar_chi_square_cc
Baseline,E1,E1,2000,1271,1595,0.6355,0.7975,-16.200000000000003,100,424,1.779519708459726e-48,5.338559125379178e-48,199.10114503816794
Baseline,E12b,E12b,2000,1271,1327,0.6355,0.6635,-2.8000000000000025,123,179,0.0015094358163973932,0.0015094358163973932,10.016556291390728
E1,Baseline,E1,2000,1595,1271,0.7975,0.6355,16.200000000000003,424,100,1.779519708459726e-48,5.338559125379178e-48,199.10114503816794
E1,E12b,E1,2000,1595,1327,0.7975,0.6635,13.4,340,72,9.987852420522724e-43,1.9975704841045448e-42,173.03155339805826
E12b,Baseline,E12b,2000,1327,1271,0.6635,0.6355,2.8000000000000025,179,123,0.0015094358163973932,0.0015094358163973932,10.016556291390728
E12b,E1,E1,2000,1327,1595,0.6635,0.7975,-13.4,72,340,9.987852420522724e-43,1.9975704841045448e-42,173.03155339805826
